10
   
0  8.6 10.3 16.3 23.9 25.3 36.9 47.9 47.9 35.5 
8.6 0 6 7.9 15.6 17.9 29.2 40 39.7 27.3
10.3 6 0 8.4 15 15.2 26.9 37.9 38.4 26.2
16.3 7.9 8.4 0 7.7 10.7 21.5 32.3 31.8 19.4
23.9 15.6 15 7.7 0 5.9 14.3 24.7 24 11.7
25.3 17.9 15.2 10.7 5.9 0 11.7 22.7 23.4 11.8
36.9 29.2 26.9 21.5 14.3 11.7 0 11 12.4 5.9
47.9 40 39.7 32.3 24.7 22.7 11 0 5.7 13.7
47.9 39.7 38.4 31.8 24 23.4 12.4 5.7 0 12.4
35.5 27.3 26.2 19.4 11.7 11.8 5.9 5.9 12.4 0 
   
0 0 2000 0 0 450 120 500 400 300 
0 0 250 0 0 0 0 0 0 0
2000 250 0 2000 0 0 0 0 0 0
300 0 0 0 0 0 0 0 1700 0 
1 0 0 0 0 0 0 0 0 0
5 0 100 0 0 0 20 5 0 0
100 0 0 0 0 5 0 60 0 0
10 0 25 170 5 35 50 0 300 200
50 0 0 0 0 0 0 25 0 2000
2300 0 0 0 0 0 0 5 5 0 

