30

Area             Aspect_Ratio_LB Aspect_Ratio_UB
100              0.7       1
80               1         1
50               0.7       1.3
60               0.5       0.8
120              0.9       1
40               0.6       1
20               0.7       1.4
40               1         1
150              0.8       1.1
120              0.5       1.5
50               0.7       1.1
10               0.8       1.2
20               0.95      1.5
30               0.75      1.25
50               0.9       1.1
20               0.8       1.5
40               0.4       1.4
20               0.9       1.9
80               1         1
100              0.95      1.15
40               0.5       1.5
50               1         1.1
80               0.6       1
10               0.9       1
40               0.8       1.1
10               0.5       1.2
40               0.8       1
10               0.5       1.3
80               0.9       1.05
40               0.9       1.1

W                45
H                40
